Main_Values,Paramater,Conditions,Symbol,Values,Min,Typ,Max,Unit,User,TimeStamp,p_number,version
HPDIGBT 1200V820ALT24_IGBTMaximum Rated Values,Collector-emitter voltage,Tj = 25°C,VCES,1200,,,,V,可可,2024070211580100,,v0702_1
HPDIGBT 1200V820ALT24_IGBTMaximum Rated Values,Gate-emitter peak voltage,,VGES,±20,,,,V,,,,
HPDIGBT 1200V820ALT24_IGBTMaximum Rated Values,Implemented collector current,,ICN,380,,,,A,,,,
HPDIGBT 1200V820ALT24_IGBTMaximum Rated Values,Continuous DC collector current,"TF = 70°C, Tj,max= 175°C",IC nom,250,,,,A,,,,
HPDIGBT 1200V820ALT24_IGBTMaximum Rated Values,Repetitive peak collector current,tp = 1 ms,ICRM,760,,,,A,,,,
HPDIGBT 1200V820ALT24_IGBTMaximum Rated Values,Maximum junction temperature,,"Tj,max",175,,,,oC,,,,
HPDIGBT 1200V820ALT24_IGBTCharacteristics Values,Collector-emitter saturation voltage,"IC = 250A, VGE = 15V,Tj = 25°C","VCE,sat",,,1.5,1.85,V,花花,2024070211580100,,v0702_1
HPDIGBT 1200V820ALT24_IGBTCharacteristics Values,Collector-emitter saturation voltage,"IC = 250A, VGE = 15V,Tj = 150°C","VCE,sat",,,1.7,1.85,V,,,,
HPDIGBT 1200V820ALT24_IGBTCharacteristics Values,Collector-emitter saturation voltage,"IC = 250A, VGE = 15V,Tj = 175°C","VCE,sat",,,1.75,1.85,V,,,,
HPDIGBT 1200V820ALT24_IGBTCharacteristics Values,Collector-emitter saturation voltage,"IC = 380A, VGE = 15V,Tj = 25°C","VCE,sat",,,1.75,,V,,,,
HPDIGBT 1200V820ALT24_IGBTCharacteristics Values,Collector-emitter saturation voltage,"IC = 380A, VGE = 15V,Tj = 150°C","VCE,sat",,,2.05,,V,,,,
HPDIGBT 1200V820ALT24_IGBTCharacteristics Values,Collector-emitter saturation voltage,"IC = 380A, VGE = 15V,Tj = 175°C","VCE,sat",,,2.15,,V,,,,
HPDIGBT 1200V820ALT24_IGBTCharacteristics Values,Gate threshold voltage,"IC = 9.75mA, VCE = VGE,Tj = 25°C","VGE,th",,5.1,5.8,6.4,V,,,,
HPDIGBT 1200V820ALT24_IGBTCharacteristics Values,Gate threshold voltage,"IC = 9.75mA, VCE = VGE,Tj = 150°C","VGE,th",,5.1,4,6.4,V,,,,
HPDIGBT 1200V820ALT24_IGBTCharacteristics Values,Gate threshold voltage,"IC = 9.75mA, VCE = VGE,Tj = 175°C","VGE,th",,5.1,3.3,6.4,V,,,,
HPDIGBT 1200V820ALT24_IGBTCharacteristics Values,Collector-emitter cut-off current,"VCE = 1200V, VGE = 0V,Tj = 25°C",ICES,,,,1,mA,,,,
