Main_Values,Paramater,Conditions,Symbol,Values,Min,Typ,Max,Unit,User,TimeStamp,p_number,version
IGBT ED3 1200V600A_Maximum Rated Values,Collector-emitter voltage,Tj = 25°C,VCES,1200,,,,V,可可,2024070211580100,,v0702_1
IGBT ED3 1200V600A_Maximum Rated Values,Gate-emitter peak voltage,,VGES,±20,,,,V,,,,
IGBT ED3 1200V600A_Maximum Rated Values,Continuous DC collector current,"TC = 85°C, Tj,max= 175°C",IC nom,600,,,,A,,,,
IGBT ED3 1200V600A_Maximum Rated Values,Repetitive peak collector current,"Verified by design, tp limited by Tj,max",ICRM,1200,,,,A,,,,
IGBT ED3 1200V600A_Maximum Rated Values,Maximum junction temperature,,"Tj,max",175,,,,oC,,,,
IGBT ED3 1200V600A_Characteristics Values,Collector-emitter saturation voltage,"IC = 600A, VGE = 15V,Tj = 25°C","VCE,sat",,,1.75,2.1,V,花花,2024070211580100,,v0702_1
IGBT ED3 1200V600A_Characteristics Values,Collector-emitter saturation voltage,"IC = 600A, VGE = 15V,Tj = 125°C","VCE,sat",,,2.1,,V,花花,2024070211580100,,v0702_1
IGBT ED3 1200V600A_Characteristics Values,Collector-emitter saturation voltage,"IC = 600A, VGE = 15V,Tj = 150°C","VCE,sat",,,2.15,,V,花花,2024070211580100,,v0702_1
IGBT ED3 1200V600A_Characteristics Values,Gate threshold voltage,"IC = 22 mA, VCE = VGE,Tj = 25°C","VGE,th",,5.2,5.8,6.4,V,,,,
IGBT ED3 1200V600A_Characteristics Values,Collector-emitter cut-off current,"VCE = 1200V, VGE = 0V,Tj = 25°C",ICES,,,,1,mA,,,,
IGBT ED3 1200V600A_Characteristics Values,Gate-emitter leakage current,"VCE = 0V, VGE = 20V,Tj = 25°C",IGES,,,,400,nA,,,,
IGBT ED3 1200V600A_Characteristics Values,Gate charge,"VGE = -15V / +15V, VCE = 600V",Qg,,,3.45,,μC,,,,
IGBT ED3 1200V600A_Characteristics Values,Internal gate resistance,Tj = 25°C,"RG,int",,,1.4,,Ω,,,,
IGBT ED3 1200V600A_Characteristics Values,Input capacitance,"f = 100kHz, VCE = 25V,Tj = 25°C ,VGE = 0V",Cies,,,51,,nF,,,,
IGBT ED3 1200V600A_Characteristics Values,Output capacitance,"f = 100kHz, VCE = 25V,Tj = 25°C, VGE = 0V",Coes,,,4.1,,nF,,,,
IGBT ED3 1200V600A_Characteristics Values,Reverse transfer capacitance,"f = 100kHz, VCE = 25V,Tj = 25°C, VGE = 0V",Cres,,,1.8,,nF,,,,
IGBT ED3 1200V600A_Characteristics Values,"Turn-on delay time, inductive load","IC = 600A, VCE = 600V,Tj = 25°C",td(on),,,0.16,,μs,,,,
IGBT ED3 1200V600A_Characteristics Values,"Turn-on delay time, inductive load","VGE = -15V / + 15V,Tj = 125°C",td(on),,,0.18,,μs,,,,
IGBT ED3 1200V600A_Characteristics Values,"Turn-on delay time, inductive load","RG,on = 1.5 Ω,Tj = 150°C",td(on),,,0.18,,μs,,,,
IGBT ED3 1200V600A_Characteristics Values,"Rise time, inductive load","IC = 600A, VCE = 600V,Tj = 25°C",tr,,,0.1,,μs,,,,
IGBT ED3 1200V600A_Characteristics Values,"Rise time, inductive load","VGE = -15V / + 15V,Tj = 125°C",tr,,,0.11,,μs,,,,
IGBT ED3 1200V600A_Characteristics Values,"Rise time, inductive load","RG,on = 1.5 Ω,Tj = 150°C",tr,,,0.11,,μs,,,,
IGBT ED3 1200V600A_Characteristics Values,Turn-on energy loss per pulse,"IC = 600A, VCE = 600V, LS = 25 nH, VGE = -15V / + 15V, RG,on = 1.5 Ω, Tj = 25°C",Eon,,,64.5,,mJ,,,,
IGBT ED3 1200V600A_Characteristics Values,Turn-on energy loss per pulse,"IC = 600A, VCE = 600V, LS = 25 nH, VGE = -15V / + 15V, RG,on = 1.5 Ω, Tj = 125°C",Eon,,,90,,mJ,,,,
IGBT ED3 1200V600A_Characteristics Values,Turn-on energy loss per pulse,"IC = 600A, VCE = 600V, LS = 25 nH, VGE = -15V / + 15V, RG,on = 1.5 Ω, Tj = 150°C",Eon,,,100,,mJ,,,,
IGBT ED3 1200V600A_Characteristics Values,Turn-on energy loss per pulse,di/dt = 4.6 A/ns (25°C),Eon,,,,,mJ,,,,
IGBT ED3 1200V600A_Characteristics Values,Turn-on energy loss per pulse,di/dt = 4.3 A/ns (150°C),Eon,,,,,mJ,,,,
IGBT ED3 1200V600A_Characteristics Values,"Turn-off delay time, inductive load","IC = 600A, VCE = 600V, VGE = -15V / + 15V, RG,off = 1.5 Ω, Tj = 25°C",td(off),,,0.53,,μs,,,,
IGBT ED3 1200V600A_Characteristics Values,"Turn-off delay time, inductive load","IC = 600A, VCE = 600V, VGE = -15V / + 15V, RG,off = 1.5 Ω, ,Tj = 125°C",td(off),,,0.57,,μs,,,,
IGBT ED3 1200V600A_Characteristics Values,"Turn-off delay time, inductive load","IC = 600A, VCE = 600V, VGE = -15V / + 15V, RG,off = 1.5 Ω, ,Tj = 150°C",td(off),,,0.59,,μs,,,,
IGBT ED3 1200V600A_Characteristics Values,"Fall time, inductive load","IC = 600A, VCE = 600V,VGE = -15V / + 15V, RG,off = 1.5 Ω, Tj = 25°C",tf,,,0.14,,μs,,,,
IGBT ED3 1200V600A_Characteristics Values,"Fall time, inductive load","IC = 600A, VCE = 600V,VGE = -15V / + 15V, RG,off = 1.5 Ω, Tj = 125°C",tf,,,0.29,,μs,,,,
IGBT ED3 1200V600A_Characteristics Values,"Fall time, inductive load","IC = 600A, VCE = 600V,VGE = -15V / + 15V, RG,off = 1.5 Ω, Tj = 150°C",tf,,,0.34,,μs,,,,
IGBT ED3 1200V600A_Characteristics Values,Turn-off energy loss per pulse,"IC = 600A, VCE = 600V, LS = 25 nH, VGE = -15V / + 15V,Tj = 150°C,RG,off = 1.5 Ω, Tj = 25°C",Eoff,,,54.5,,mJ,,,,
IGBT ED3 1200V600A_Characteristics Values,Turn-off energy loss per pulse,"IC = 600A, VCE = 600V, LS = 25 nH, VGE = -15V / + 15V,Tj = 150°C,RG,off = 1.5 Ω, Tj = 125°C",Eoff,,,70.5,,mJ,,,,
IGBT ED3 1200V600A_Characteristics Values,Turn-off energy loss per pulse,"IC = 600A, VCE = 600V, LS = 25 nH, VGE = -15V / + 15V,Tj = 150°C,RG,off = 1.5 Ω, Tj = 150°C",Eoff,,,78,,mJ,,,,
IGBT ED3 1200V600A_Characteristics Values,Turn-off energy loss per pulse,dv/dt = 4.7 V/ns (25°C),Eoff,,,,,mJ,,,,
IGBT ED3 1200V600A_Characteristics Values,Turn-off energy loss per pulse,dv/dt = 3.7 V/ns (150°C),Eoff,,,,,mJ,,,,
IGBT ED3 1200V600A_Characteristics Values,Short circuit current,"VGE =-15V / +15V, VCC = 800V, RG,on = 1.5 Ω, RG,off = 1.5 Ω, tp = 10 μs, Tj = 150°C",ISC,,,2400,,A,,,,
IGBT ED3 1200V600A_Characteristics Values,"Thermal resistance, junction to case",Per IGBT; ,"Rth,JC",,,,0.06,K/W,,,,
IGBT ED3 1200V600A_Characteristics Values,Operated temperature condition,,"Tj,op",,-40,,150,˚C,,,,
IGBT ED3 1200V600A_DIODE_Maximum Rated Values,Repetitive peak reverse voltage,Tj = 25°C,VRRM,1200,,,,V,孫小美,2024070211580100,,v0702_1
IGBT ED3 1200V600A_DIODE_Maximum Rated Values,Continuous DC forward current,"TC = 85°C, Tj,max= 175°C",IF,600,,,,A,,,,
IGBT ED3 1200V600A_DIODE_Maximum Rated Values,Repetitive peak forward current,"Verified by design, tp limited by Tj,max",IFRM,1200,,,,A,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Forward voltage,"IF = 600A, VGE = 0V,Tj = 25°C",VF,,,1.85,2.15,V,金貝貝,2024070211580100,,v0702_1
IGBT ED3 1200V600A_DIODE_Characteristics Values,Forward voltage,"IF = 600A, VGE = 0V,Tj = 125°C",VF,,,2.15,,V,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Forward voltage,"IF = 600A, VGE = 0V,Tj = 150°C",VF,,,2.15,,V,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Peak reverse recovery current,"IF = 600A, VR = 600V, VGE = -15V, Tj = 25°C",IRM,,,285,,A,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Peak reverse recovery current,"IF = 600A, VR = 600V, VGE = -15V, Tj = 25°CTj = 125°C",IRM,,,315,,A,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Peak reverse recovery current,"IF = 600A, VR = 600V, VGE = -15V, Tj = 25°CTj = 150°C",IRM,,,330,,A,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Peak reverse recovery current,–diF/dt = 5.8 A/ns (25°C),IRM,,,,,A,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Peak reverse recovery current,–diF/dt = 5.5 A/ns (150°C),IRM,,,,,A,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Recovered charge,"IF = 600A, VR = 600V, VGE = -15V, Tj = 25°C",Qrr,,,27.5,,μC,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Recovered charge,"IF = 600A, VR = 600V, VGE = -15V, Tj = 125°C",Qrr,,,50,,μC,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Recovered charge,"IF = 600A, VR = 600V, VGE = -15V, Tj = 150°C",Qrr,,,71.5,,μC,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Recovered charge,–diF/dt = 5.8 A/ns (25°C),Qrr,,,,,μC,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Recovered charge,–diF/dt = 5.5 A/ns (150°C),Qrr,,,,,μC,,,,
IGBT ED3 1200V600A_DIODE_Characteristics Values,Reverse recovery energy,"IF = 600A, VR = 600V, VGE = -15V, Tj = 25°C",Erec,,,7,,mJ,,,,
