Main_Values,Paramater,Conditions,Symbol,Values,Min,Typ,Max,Unit,User,TimeStamp,p_number,version
IGBT EP2 1200V75A_GBT Inverter_Maximum Rated Values,Collector-emitter voltage,Tj = 25°C,VCES,1200,,,,V,可可,2024070211580100,,v0702_1
IGBT EP2 1200V75A_GBT Inverter_Maximum Rated Values,Gate-emitter peak voltage,,VGES,±20,,,,V,,,,
IGBT EP2 1200V75A_GBT Inverter_Maximum Rated Values,Implemented collector current,"Tc = 70°C, Tj,max = 175°C",ICN,75,,,,A,,,,
IGBT EP2 1200V75A_GBT Inverter_Maximum Rated Values,Repetitive peak collector current,tp = 1 ms,ICRM,150,,,,A,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Collector-emitter saturation voltage,"IC = 75A, VGE = 15V,Tj = 25°C","VCE,sat",,,1.75,2.15,V,花花,2024070211580100,,v0702_1
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Collector-emitter saturation voltage,"IC = 75A, VGE = 15V,Tj = 150°C","VCE,sat",,,2.15,2.15,V,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Gate threshold voltage,"IC = 2.40mA, VCE = VGE,Tj = 25°C","VGE,th",,5.3,5.9,7,V,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Collector-emitter cut-off current,"VCE = 1200V, VGE = 0V, Tj = 25°C",ICES,,,,1,mA,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Gate-emitter leakage current,"VCE = 0V, VGE = 20V, Tj = 25°C",IGES,,,,100,nA,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Gate Charge,"VGE = -15V / + 15V, VCE = 600V, Tj = 25°C",Qg,,,TBD,,μC,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Input capacitance,"f = 1MHz, VCE = 25V, VGE = 0V, Tj = 25°C",Cies,,,6,,nF,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Output capacitance,"f = 1MHz, VCE = 25V, VGE = 0V, Tj = 25°C",Coes,,,1.1,,nF,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Reverse transfer capacitance,"f = 1MHz, VCE = 25V, VGE = 0V, Tj = 25°C",Cres,,,0.1,,nF,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,"Turn-on delay time, inductive load","IC = 75A, VCE = 600V,VGE = -15V / + 15V,RG,on = 2.0 Ω, , Tj = 25°C",td(on),,,TBD,,μs,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,"Rise time, inductive load","IC = 75A, VCE = 600V,VGE = -15V / + 15V,RG,on = 2.0 Ω, Tj = 25°C",tr,,,TBD,,μs,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,,,,,,,,,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Turn-on energy loss per pulse,"IC = 75A, VCE = 600V,LS = 30 nH,VGE = -15V / + 15V, RG,on = 2.0 Ω, di/dt = TBD A/μs (25°C), Tj = 25°C",Eon,,,TBD,,mJ,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,"Turn-off delay time, inductive load","IC = 75A, VCE = 600V,VGE = -15V / + 15V,RGoff = 2.0 Ω, Tj = 25°C",td(off),,,TBD,,μs,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,"Fall time, inductive load","IC = 75A, VCE = 600V,VGE = -15V / + 15V,RGoff = 2.0 Ω, Tj = 26°C",tf,,,TBD,,μs,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Turn-off energy loss per pulse,"IC = 75A, VCE = 600V,LS = 30 nH,VGE = -15V / + 15V, RG,on = 2.0 Ω, di/dt = TBD A/μs (25°C), Tj = 25°C",Eoff,,,TBD,,mJ,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Short circuit current,"VGE ≦ 15 V, VCC = 800 V, Tj = 25°C",ISC,,,TBD,,A,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,Short circuit current,"tp ≦ 10 μs, Tj = 25°C",ISC,,,TBD,,A,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,"Thermal resistance, junction to case",Per IGBT,"Rth,JC",,,0.2,,K/W,,,,
IGBT EP2 1200V75A_GBT Inverter_Characteristics Values,"Thermal resistance, case to heatsink",Per IGBT,"Rth,CH",,,0.3,,K/W,,,,
IGBT EP2 1200V75A _DIODE Inverter_Maximum Rated Values,Repetitive peak reverse voltage,Tj = 25°C,VRRM,1200,,,,V,孫小美,2024070211580100,,v0702_1
IGBT EP2 1200V75A _DIODE Inverter_Maximum Rated Values,Implemented forward current,,IFN,75,,,,A,,,,
IGBT EP2 1200V75A _DIODE Inverter_Maximum Rated Values,Repetitive peak forward current,tp = 1 ms,IFRM,150,,,,A,,,,
IGBT EP2 1200V75A_DIODE Inverter_Characteristics Values,Forward voltage,"IF = 75A, VGE = 0V, Tj = 25°C",VF,,,1.65,2.1,V,金貝貝,2024070211580100,,v0702_1
IGBT EP2 1200V75A_DIODE Inverter_Characteristics Values,Forward voltage,"IF = 75A, VGE = 0V, Tj = 150°C",VF,,,1.7,,V,,,,
IGBT EP2 1200V75A_DIODE Inverter_Characteristics Values,Recovered charge,"IF = 75A, VR = 600V,VGE = -15V,-diF/dt = TBD A/μs (25°C), Tj = 25°C",Qrr,,,TBD,,μC,,,,
IGBT EP2 1200V75A_DIODE Inverter_Characteristics Values,Reverse recovery energy,"IF = 75A, VR = 600V,VGE = -15V,-diF/dt = TBD A/μs (25°C), Tj = 25°C",Erec,,,TBD,,mJ,,,,
IGBT EP2 1200V75A_DIODE Inverter_Characteristics Values,Peak reverse recovery current,"IF = 75A, VR = 600V,VGE = -15V,-diF/dt = TBD A/μs (25°C), Tj = 25°C",IRM,,,TBD,,A,,,,
IGBT EP2 1200V75A_DIODE Inverter_Characteristics Values,"Thermal resistance, junction to case",Per diode,"Rth,JC",,,,0.55,,,,,
IGBT EP2 1200V75A_DIODE Inverter_Characteristics Values,"Thermal resistance, case to heatsink",Per diode,"Rth,CH",,,,0.18,,,,,
IGBT EP2 1200V75A_NTC-Thermistor,Rated resistance,Tc = 25°C,R25,,,5,,kΩ,鴨立大,2024070211580100,,v0702_1
IGBT EP2 1200V75A_NTC-Thermistor,Resistance tolerance,Tc = 100°C,ΔR/R,,-5,,5,%,,,,
IGBT EP2 1200V75A_NTC-Thermistor,B-value,R2 = R25 exp [B25/50(1/T2 – 1/(298.15 K)),B25/50,,,3375,,K,,,,
IGBT EP2 1200V75A_NTC-Thermistor,B-value,R2 = R25 exp [B25/80(1/T2 – 1/(298.15 K)),B25/80,,,3411,,K,,,,
IGBT EP2 1200V75A_NTC-Thermistor,B-value,R2 = R25 exp [B25/100(1/T2 – 1/(298.15 K)),B25/100,,,3433,,K,,,,
IGBT EP2 1200V75A_Module,Isolation test voltage,"RMS, f = 50 Hz, t = 1 min",VISOL,,,TBD,,kV,部佳斑,2024070211580100,,v0702_1
IGBT EP2 1200V75A_Module,Module baseplate material,,,,,Cu + Ni,,,,,,
IGBT EP2 1200V75A_Module,Module internal isolation material,"Basic isolation (class 1, IEC 61140)",,,,Al2O3,,,,,,
IGBT EP2 1200V75A_Module,Creepage distance,Terminal to Terminal,dcree,,,10,,mm,,,,
IGBT EP2 1200V75A_Module,Clearance,Terminal to Terminal,dclear,,,7.5,,mm,,,,
