Main_Values,Parameter,Conditions,Symbol,Values,Min,Typ,Max,Unit,User,TimeStamp,p_number,version
SiC ED3 1200V600A_MOSFET_Maximum Rated Values ,Drain-source voltage,Tj = 25°C,VDSS,1200,,,,V,可可,2024070211580100,,v0702_1
SiC ED3 1200V600A_MOSFET_Maximum Rated Values ,Gate-source voltage,,VGS,-6/+20,,,,V,,,,
SiC ED3 1200V600A_MOSFET_Maximum Rated Values ,DC drain current,"VGS = 18V, TC = 25°C, Tj max = 175°C",ID nom,600,,,,A,,,,
SiC ED3 1200V600A_MOSFET_Maximum Rated Values ,Pulsed drain current,"Verified by design, tp limited by Tj max",ID pulse,1200,,,,A,,,,
SiC ED3 1200V600A_MOSFET_Maximum Rated Values ,Max junction temperature,,"Tj, max",175,,,,°C,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Drain-source on resistance,"ID = 600 A, VGS = 18 V,Tj = 25°C",RDS(on),,,2,3.5,mΩ,花花,2024070211580100,,v0702_1
SiC ED3 1200V600A_MOSFET_Characteristics Values,Drain-source on resistance,"ID = 600 A, VGS = 18 V,Tj = 150°C",RDS(on),,,4.1,,mΩ,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Drain-source on resistance,"ID = 600 A, VGS = 18 V,Tj = 175°C",RDS(on),,,4.8,,mΩ,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Gate threshold voltage,"ID = 175 mA, VGS = VDS,Tj = 25°C","VGS,th",,2.2,3.5,4.2,V,花花,2024070211580100,,v0702_1
SiC ED3 1200V600A_MOSFET_Characteristics Values,Gate threshold voltage,"ID = 175 mA, VGS = VDS,Tj = 150°C","VGS,th",,,2.7,,V,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Gate threshold voltage,"ID = 175 mA, VGS = VDS,Tj = 175°C","VGS,th",,,2.6,,V,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Internal gate resistance,"f = 1MHz, Tj = 25°C","RG,int",,,0.2,,Ω,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Drain-source leakage current,"VDS = 1200 V, VGS = 0 V, Tj = 25°C",IDSS,,,,100,μA,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Drain-source leakage current,"VDS = 1200 V, VGS = 0 V, Tj = 150°C",IDSS,,,,1,mA,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Drain-source leakage current,"VDS = 1200 V, VGS = 0 V, Tj = 175°C",IDSS,,,,5,mA,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Gate-source leakage current,"VDS = 0 V, VGS = 20 V, Tj = 25°C",IGSS,,,,400,nA,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Gate Charge,"VGS = -5 V / + 18 V, VDS = 600V,Tj = 25°C",Qg,,,1.5,,μC,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Input capacitance,"f = 100 kHz, VDS = 100 V,VGS = 0V, Tj = 25°C",Ciss,,,37.5,,nF,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Output capacitance,"f = 100 kHz, VDS = 100 V,VGS = 0V, Tj = 25°C",Coss,,,8,,nF,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Reverse transfer capacitance,"f = 100 kHz, VDS = 100 V,VGS = 0V, Tj = 25°C",Crss,,,0.05,,nF,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,"Turn-on delay time, inductive load","ID = 600 A, VDS = 600 V, Tj = 25°C",td(on),,,59,,ns,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,"Turn-on delay time, inductive load","VGS = -5 V / + 18 V,RG,on = 5.1 Ω, Tj = 175°C",td(on),,,33,,ns,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,,,,,,,,,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,"Rise time, inductive load","ID = 600 A, VDS = 600 V,VGS = -5 V / + 18 V,RG,on = 5.1 Ω, Tj = 25°C",tr,,,205,,ns,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,"Rise time, inductive load","ID = 600 A, VDS = 600 V,VGS = -5 V / + 18 V,RG,on = 5.1 Ω, Tj = 175°C",tr,,,190,,ns,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Turn-on energy loss per pulse,"ID = 600 A, VDS = 600 V, Tj = 25°C",Eon,,,16.3,,mJ,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Turn-on energy loss per pulse,"LS = 30 nH, Tj = 175°C ",Eon,,,9.6,,mJ,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Turn-on energy loss per pulse,VGS = -5 V / + 18 V,Eon,,,,,mJ,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Turn-on energy loss per pulse,"RG,on = 5.1 Ω,",Eon,,,,,mJ,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Turn-on energy loss per pulse,di/dt= 5.4 A/ns (25°C),Eon,,,,,mJ,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Turn-on energy loss per pulse,di/dt= 6.6 A/ns (175°C),Eon,,,,,mJ,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,"Turn-off delay time, inductive load","ID = 600 A, VDS = 600 V,VGS = -5 V / + 18 V,RG,on = 5.1 Ω, Tj = 25°C",td(off),,,286,,ns,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,"Turn-off delay time, inductive load","ID = 600 A, VDS = 600 V,VGS = -5 V / + 18 V,RG,on = 5.1 Ω, Tj = 175°C",td(off),,,309,,ns,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,"Fall time, inductive load","ID = 600 A, VDS = 600 V,VGS = -5 V / + 18 V,RG,on = 5.1 Ω, Tj = 25°C",tf,,,46,,ns,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,"Fall time, inductive load","ID = 600 A, VDS = 600 V,VGS = -5 V / + 18 V,RG,on = 5.1 Ω, Tj = 175°C",tf,,,55,,ns,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Turn-off energy loss per pulse,"ID = 600 A, VDS = 600 V, Tj = 25°C",Eoff,,,15,,mJ,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Turn-off energy loss per pulse,"LS = 30 nH,VGS = -5 V / + 18 V,RG,off = 5.1 Ω,dV/dt= 12.0 V/ns (25°C),dV/dt= 11.5 V/ns (175°C), Tj = 175°C",Eoff,,,16,,mJ,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Short circuit current,"VGS = -5 V / + 18 V, VDD = 800 V,RG,on = 5.1 Ω,RG,off = 5.1 Ω,tsc = 3 μs, Tj = 25°C",ISC,,,3200,,A,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Short circuit current,"VGS = -5 V / + 18 V, VDD = 800 V,RG,on = 5.1 Ω,RG,off = 5.1 Ω,tsc = 3 μs, Tj = 175°C",ISC,,,2700,,A,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,"Thermal resistance, junction to case",Per MOSFET,"Rth,JC",,,0.08,,K/W,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,Operated temperature condition,,"Tj,op",,-40,,150,˚C,,,,
SiC ED3 1200V600A_MOSFET_Characteristics Values,,,,,,,,,,,,
SiC ED3 1200V600A_DIODE_Maximum Rated Values,DC diode forward current,"VGS = -5V, TC = 25˚C, Tj,max=175°C",IF,600,,,,A,孫小美,2024070211580100,,v0702_1
SiC ED3 1200V600A_DIODE_Maximum Rated Values,Pulsed diode current,"Verified by design, tp limited by Tj,max","IF, pulse",1200,,,,A,,,,
SiC ED3 1200V600A_DIODE_Maximum Rated Values,,,,,,,,,,,,
SiC ED3 1200V600A_DIODE_Characteristics Values,Forward voltage,"IF = 600 A, VGS = -5 V, Tj = 25°C",VF,,,1.7,2.3,V,金貝貝,2024070211580100,,v0702_1
SiC ED3 1200V600A_DIODE_Characteristics Values,Forward voltage,"IF = 600 A, VGS = -5 V, Tj = 175°C",VF,,,2.85,,V,,,,
SiC ED3 1200V600A_DIODE_Characteristics Values,Peak reverse recovery current,"IF = 600 A, VR = 600 V,VGS = -5 V,-diF/dt = 5.0 A/ns (25°C),-diF/dt = 6.8 A/ns (175°C), Tj = 25°C",IRM,,,81,,A,,,,
SiC ED3 1200V600A_DIODE_Characteristics Values,Peak reverse recovery current,"IF = 600 A, VR = 600 V,VGS = -5 V,-diF/dt = 5.0 A/ns (25°C),-diF/dt = 6.8 A/ns (175°C), Tj = 175°C",IRM,,,98,,A,,,,
SiC ED3 1200V600A_DIODE_Characteristics Values,Recovered charge,"IF = 600 A, VR = 600 V,VGS = -5 V,-diF/dt = 5.0 A/ns (25°C),-diF/dt = 6.8 A/ns (175°C), Tj = 25°C",Qrr,,,2.5,,μC,,,,
SiC ED3 1200V600A_DIODE_Characteristics Values,Recovered charge,"IF = 600 A, VR = 600 V,VGS = -5 V,-diF/dt = 5.0 A/ns (25°C),-diF/dt = 6.8 A/ns (175°C), Tj = 175°C",Qrr,,,3,,μC,,,,
SiC ED3 1200V600A_DIODE_Characteristics Values,Reverse recovery energy,"IF = 600 A, VR = 600 V,VGS = -5 V,-diF/dt = 5.0 A/ns (25°C),-diF/dt = 6.8 A/ns (175°C), Tj = 25°C",Erec,,,0.8,,mJ,,,,
SiC ED3 1200V600A_DIODE_Characteristics Values,Reverse recovery energy,"IF = 600 A, VR = 600 V,VGS = -5 V,-diF/dt = 5.0 A/ns (25°C),-diF/dt = 6.8 A/ns (175°C), Tj = 175°C",Erec,,,1.2,,mJ,,,,
SiC ED3 1200V600A_DIODE_Characteristics Values,"Thermal resistance, junction to case",Per Diode,"Rth,JC",,,0.07,,K/W,,,,
SiC ED3 1200V600A_DIODE_Characteristics Values,,,,,,,,,,,,
SiC ED3 1200V600A_NTC-Thermistor,Rated resistance,Tc = 25°C,R25,,,5,,kΩ,鴨立大,2024070211580100,,v0702_1
SiC ED3 1200V600A_NTC-Thermistor,Resistance tolerance,Tc = 100°C,ΔR/R,,-5,,5,%,,,,
SiC ED3 1200V600A_NTC-Thermistor,B-value,R2 = R25 exp [B25/50(1/T2 – 1/(298 K)),B25/50,,,3375,,K,,,,
SiC ED3 1200V600A_NTC-Thermistor,B-value,R2 = R25 exp [B25/80(1/T2 – 1/(298 K)),B25/80,,,3411,,K,,,,
SiC ED3 1200V600A_NTC-Thermistor,B-value,R2 = R25 exp [B25/100(1/T2 – 1/(298 K)),B25/100,,,3433,,K,,,,
SiC ED3 1200V600A_NTC-Thermistor,,,,,,,,,,,,
SiC ED3 1200600A_Module,Isolation test voltage,"RMS, f = 0 Hz, t = 1 min",VISOL,2.5,,,,kV,部佳斑,2024070211580100,,v0702_1
SiC ED3 1200600A_Module,Module baseplate material,,,Cu + Ni,,,,,,,,
SiC ED3 1200600A_Module,Module internal isolation material,"Basic isolation (class 1, IEC 61140)",,Si3N4,,,,,,,,
SiC ED3 1200600A_Module,Creepage distance,Terminal to heatsink,"dCreep,TH",14.5,,,,mm,,,,
SiC ED3 1200600A_Module,Creepage distance,Terminal to terminal,"dCreep,TT",13,,,,mm,,,,
SiC ED3 1200600A_Module,Clearance distance,Terminal to heatsink,"dClear,TH",12.5,,,,mm,,,,
SiC ED3 1200600A_Module,Clearance distance,Terminal to terminal,"dClear,TT",10,,,,mm,,,,
SiC ED3 1200600A_Module,Comparative tracking index 1),,CTI,> 200,,,,,,,,
SiC ED3 1200600A_Module,,,,,,,,,,,,
SiC ED3 1200600A_Module,Module stray inductance,,Ls,,,18,,nH,,,,
SiC ED3 1200600A_Module,Storage temperature,,Tstg,,-40,,125,°C,,,,
SiC ED3 1200600A_Module,Mounting torque for module,Screw M5 - Mounting according to valid application note,M,,3,,6,Nm,,,,
SiC ED3 1200600A_Module,mounting,Screw M5 - Mounting according to valid application note,M,,3,,6,Nm,,,,
SiC ED3 1200600A_Module,Terminal connection torque,Screw M6 - Mounting according to valid application note,M,,3,,6,Nm,,,,
SiC ED3 1200600A_Module,Weight,,G,,,340,, g,,,,
