Main_Values,Paramater,Conditions,Symbol,Values,Min,Typ,Max,Unit,User,TimeStamp,p_number,version
SiC ED3 1200V400A_MOSFET_Maximum Rated Values ,Drain-source voltage,Tj = 25°C,VDSS,1200,,,,V,可可,2024070211580100,,v0702_1
SiC ED3 1200V400A_MOSFET_Maximum Rated Values ,Gate-source voltage,,VGS,-10/+23,,,,V,,,,
SiC ED3 1200V400A_MOSFET_Maximum Rated Values ,Gate-source voltage,Recommended operating values,VGS,-5/+18,,,,V,,,,
SiC ED3 1200V400A_MOSFET_Maximum Rated Values ,DC drain current,"VGS = 18V, TF = 60°C, Tj,max = 175°C",ID nom,400,,,,A,,,,
SiC ED3 1200V400A_MOSFET_Maximum Rated Values ,Pulsed drain current,"tp limited by Tj, max",ID pulse,800,,,,A,,,,
SiC ED3 1200V400A_MOSFET_Maximum Rated Values ,Maximum junction temperature,,"Tj,max",175,,,,oC,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Drain-source on resistance,"ID = 400 A, VGS = 18 V,Tj = 25°C",RDS(on),,,2.05,3.2,V,花花,2024070211580100,,v0702_1
SiC ED3 1200V400A_MOSFET_Characteristics Values,Drain-source on resistance,"ID = 400 A, VGS = 18 V,Tj = 150°C",RDS(on),,,3.15,,V,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Drain-source on resistance,"ID = 400 A, VGS = 18 V,Tj = 175°C",RDS(on),,,3.6,,V,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Gate threshold voltage,"ID = 210 mA, VGS = VDS,Tj = 25°C","VGS,th",,1.5,2.2,3,V,花花,2024070211580100,,v0702_1
SiC ED3 1200V400A_MOSFET_Characteristics Values,Gate threshold voltage,"ID = 210 mA, VGS = VDS,Tj = 150°C","VGS,th",,,1.6,,V,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Gate threshold voltage,"ID = 210 mA, VGS = VDS,Tj = 175°C","VGS,th",,,1.5,,V,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Drain-source leakage current,"VDS = 1200V, VGS = 0V, Tj = 25°C",IDSS,,,,100,μA,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Drain-source leakage current,"VDS = 1200V, VGS = 0V, Tj = 150°C",IDSS,,,,1,mA,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Drain-source leakage current,"VDS = 1200V, VGS = 0V, Tj = 175°C",IDSS,,,,5,mA,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Gate-source leakage current,"VDS = 0V, VGS = 20V, Tj = 25°C",IGSS,,,,400,nA,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Gate charge,"VGS = -5V / + 18V, Tj = 25°C",QG,,,1.9,,μC,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Gate charge,"VDS = 600V, ID = 400A,Tj = 25°C",QG,,,1.9,,μC,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Input capacitance,"f = 100 kHz, VDS = 600V, Tj = 25°C",Ciss,,,45,,nF,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Input capacitance,"VGS = 0V,Tj = 25°C",Ciss,,,45,,nF,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Output capacitance,"f = 100 kHz, VDS = 600V, Tj = 25°C",Coss,,,2,,nF,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Output capacitance,"VGS = 0V, Tj = 25°C",Coss,,,2,,nF,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Reverse transfer capacitance,"f = 100 kHz, VDS = 600V, Tj = 25°C",Crss,,,0.17,,nF,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Reverse transfer capacitance,"VGS = 0V, Tj = 25°C",Crss,,,0.17,,nF,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-on delay time inductive load,"ID = 400A, VDS = 600V, Tj = 25°C",td(on),,,110,,ns,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-on delay time inductive load,"VGS = -5V / + 18V, Tj = 175°C",td(on),,,78,,ns,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-on delay time inductive load,"RG,on = 5.1 Ω",td(on),,,,,ns,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,"Rise time, inductive load","ID = 400A, VDS = 600V, Tj = 25°C",tr,,,226,,ns,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,"Rise time, inductive load","VGS = -5V / + 18V, Tj = 175°C",tr,,,186,,ns,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,"Rise time, inductive load","RG,on = 5.1 Ω",tr,,,,,ns,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-on energy loss per pulse,"ID = 400A, VDS = 600V, Tj = 25°C",Eon,,,18.1,,mJ,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-on energy loss per pulse,"LS = 30 nH,Tj = 175°C",Eon,,,17.9,,mJ,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-on energy loss per pulse,VGS = -5V / + 18V,Eon,,,,,mJ,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-on energy loss per pulse,"RG,on = 5.1 Ω",Eon,,,,,mJ,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-on energy loss per pulse,di/dt = 4.1 A/ns (25°C),Eon,,,,,mJ,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-on energy loss per pulse,di/dt = 4.8 A/ns (175°C),Eon,,,,,mJ,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,"Turn-off delay time, inductive load","ID = 400A, VDS = 600V, Tj = 25°C",td(off),,,535,,ns,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,"Turn-off delay time, inductive load","VGS = -5V / + 18V, Tj = 175°C",td(off),,,656,,ns,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,"Turn-off delay time, inductive load","RG,off = 5.1 Ω",td(off),,,,,ns,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,"Fall time, inductive load","ID = 400A, VDS = 600V, Tj = 25°C",tf,,,108,,ns,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,"Fall time, inductive load","VGS = -5V / + 18V, Tj = 175°C",tf,,,114,,ns,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,"Fall time, inductive load","RG,off = 5.1 Ω",tf,,,,,ns,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-off energy loss per pulse,"ID = 400A, VDS = 600 V, Tj = 25°C",Eoff,,,26,,mJ,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-off energy loss per pulse,"LS = 30 nH, Tj = 175°C",Eoff,,,28.5,,mJ,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-off energy loss per pulse,VGS = -5V / + 18V,Eoff,,,,,mJ,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-off energy loss per pulse,"RG,off = 5.1 Ω",Eoff,,,,,mJ,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-off energy loss per pulse,dv/dt = 5.6 V/ns (25°C),Eoff,,,,,mJ,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Turn-off energy loss per pulse,dv/dt = 5.3 V/ns (175°C),Eoff,,,,,mJ,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Short circuit current,"VDD = 800V, Tj = 25°C",ISC,,,6800,,A,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Short circuit current,"VGS = -5V / + 18V, Tj = 150°C",ISC,,,5700,,A,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Short circuit current,"RG,on = 5.1 Ω",ISC,,,,,A,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Short circuit current,"RG,off = 5.1 Ω",ISC,,,,,A,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Short circuit current,tsc ≤ 3 μs,ISC,,,,,A,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Thermal resistance,Per MOSFET,"Rth,JF",,,0.09,,K/W,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Junction to cooling fluid,ΔV/Δt = 10 dm3/min ,"Rth,JF",,,0.09,,K/W,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Junction to cooling fluid,TF = 60°C,"Rth,JF",,,0.09,,K/W,,,,
SiC ED3 1200V400A_MOSFET_Characteristics Values,Operated temperature condition,,"Tj,op",,-40,,150,˚C,,,,
SiC ED3 1200V400A_BODY_DIODE_Maximum Rated Values,DC body diode forward current,"VGS = -5V, Tj = 175°C",ISD,210,,,,A,孫小美,2024070211580100,,v0702_1
